id,created_at,updated_at,deleted_at,facility_name,robot_id,plc_id,tag_name,tag_address,comment,data_type,action,screen,svg_element,true_condition_color,false_condition_color,blinking,refresh_rate
af18852f-e774-4b05-ad9d-fbd910107241,2026-06-25 07:25:07.249132+00,2026-06-25 07:25:07.249132+00,,GOTEST,6f131fe1-edd6-40e9-a640-73b84c642b5b,6dcde235-05e8-4f96-94ba-68fc4d0ab9cb,M0001,M0001,M0001_BOOL_TAG,BOOL,,,f,,,f,0
cd85753e-d8b8-41b8-9169-f5e766f72a37,2026-06-25 07:25:07.260343+00,2026-06-25 07:25:07.260343+00,,GOTEST,6f131fe1-edd6-40e9-a640-73b84c642b5b,6dcde235-05e8-4f96-94ba-68fc4d0ab9cb,M0002,M0002,M0002_BOOL_TAG,BOOL,,,f,,,f,0
c6fb8b4a-d5af-4c5b-8380-5c82f0faaf6e,2026-06-25 07:25:07.261841+00,2026-06-25 07:25:07.261841+00,,GOTEST,6f131fe1-edd6-40e9-a640-73b84c642b5b,6dcde235-05e8-4f96-94ba-68fc4d0ab9cb,M0003,M0003,M0003_BOOL_TAG,BOOL,,,f,,,f,0
8083aee2-bbba-4bf3-96ac-8ab891c74f44,2026-06-25 07:25:07.262827+00,2026-06-25 07:25:07.262827+00,,GOTEST,6f131fe1-edd6-40e9-a640-73b84c642b5b,6dcde235-05e8-4f96-94ba-68fc4d0ab9cb,M0004,M0004,M0004_BOOL_TAG,BOOL,,,f,,,f,0
31c6496b-61e3-4e53-90e7-f89e4d257c82,2026-06-25 07:25:07.263727+00,2026-06-25 07:25:07.263727+00,,GOTEST,6f131fe1-edd6-40e9-a640-73b84c642b5b,6dcde235-05e8-4f96-94ba-68fc4d0ab9cb,M0005,M0005,M0005_BOOL_TAG,BOOL,,,f,,,f,0
8e5f403d-1a8d-435d-8367-d020264a85b5,2026-06-25 07:25:07.265083+00,2026-06-25 07:25:07.265083+00,,GOTEST,6f131fe1-edd6-40e9-a640-73b84c642b5b,6dcde235-05e8-4f96-94ba-68fc4d0ab9cb,M0006,M0006,M0006_BOOL_TAG,BOOL,,,f,,,f,0
bee56a3b-14bc-463a-8f84-1a202031ce20,2026-06-25 07:25:07.26668+00,2026-06-25 07:25:07.26668+00,,GOTEST,6f131fe1-edd6-40e9-a640-73b84c642b5b,6dcde235-05e8-4f96-94ba-68fc4d0ab9cb,M0007,M0007,M0007_BOOL_TAG,BOOL,,,f,,,f,0
92a05dc6-5aac-4b16-80d9-988c959e6533,2026-06-25 07:25:07.267771+00,2026-06-25 07:25:07.267771+00,,GOTEST,6f131fe1-edd6-40e9-a640-73b84c642b5b,6dcde235-05e8-4f96-94ba-68fc4d0ab9cb,M0008,M0008,M0008_BOOL_TAG,BOOL,,,f,,,f,0
da48d7b4-a562-4e86-b2f0-6efc918966d3,2026-06-25 07:25:07.268865+00,2026-06-25 07:25:07.268865+00,,GOTEST,6f131fe1-edd6-40e9-a640-73b84c642b5b,6dcde235-05e8-4f96-94ba-68fc4d0ab9cb,M0009,M0009,M0009_BOOL_TAG,BOOL,,,f,,,f,0
f37f9779-4c79-4e38-b9ac-1f8d46b24f71,2026-06-25 07:25:07.269619+00,2026-06-25 07:25:07.269619+00,,GOTEST,6f131fe1-edd6-40e9-a640-73b84c642b5b,6dcde235-05e8-4f96-94ba-68fc4d0ab9cb,M0010,M0010,M0010_BOOL_TAG,BOOL,,,f,,,f,0
